Unnamed: 0,non,lin,Mac,sim,lgb,svr,cat,dct, extra,lstm,min_smape,selected_model,Null_points
NX1301,24.56377819,17.26631836,24.23851403,18.83477171,23.02310886,23.00809402,1000,30.04222158,23.02310881,1000,17.26631836,lin,8760
NX1302,42.63485537,46.54514598,38.36400781,34.8419667,38.1386017,39.30192048,1000,53.45760498,38.13860168,1000,34.8419667,sim,8760
NX1303,18.84139819,23.25983734,20.50807053,20.21505489,21.04498602,21.00293357,1000,27.2393283,21.04498601,1000,18.84139819,non,8760
NX1304,29.44075577,28.93553323,25.00088417,23.78179255,25.16706033,25.67316377,1000,31.36449163,25.16706036,1000,23.78179255,sim,8760
NX1305,44.27040699,39.53162106,31.99815311,29.05455591,31.641363300000002,33.55044767,1000,39.968817200000004,31.64136327,1000,29.05455591,sim,8760
NX1306,46.91703731,45.63408359,41.72261099,56.79215303,58.30679289,47.75548925,1000,51.02770548,58.3067929,1000,41.72261099,Mac,8760
NX1307,24.85660667,32.01999165,28.35911942,26.62232864,28.24620183,30.73297015,1000,40.13671502,28.24620185,1000,24.85660667,non,8760
NX1308,21.40345161,25.07531578,19.68992589,18.76717144,20.12087643,21.77209029,1000,25.58922752,20.12087647,1000,18.76717144,sim,8760
NX1309,42.77275811,48.76763994,44.1930684,51.68211135,57.18580954,64.05604897,1000,50.8035409,57.18580945,1000,42.77275811,non,8760
NX1310,35.69108381,36.60115565,31.57562963,30.43567183,31.99249537,33.58106529,1000,42.38155339,31.99249533,1000,30.43567183,sim,8760
NX1311,16.08749173,17.75894336,15.55231899,18.76251479,19.63000287,19.33902698,1000,21.00233463,19.63000286,1000,15.55231899,Mac,8760
NX1312,16.83749863,49.94158289,38.73891810000001,25.7941961,56.32302084,34.44917739,1000,28.8878271,56.32302072,1000,16.83749863,non,8760
NX1313,20.56848447,27.75732128,24.00162468,24.06469782,25.843002600000002,26.9942076,1000,32.15810516,25.84300259,1000,20.56848447,non,8760
